tract_id,entropy,p1,p2,p3
727,0.8255731484310664,0.5416666865348816,0.375,0.0833333358168602
728,0.9543259877225492,0.40449437499046326,0.40449437499046326,0.1910112351179123
729,0.6072552136428063,0.6875,0.3125,0.009999999776482582
730,0.08383612698161111,1.0,0.009999999776482582,0.009999999776482582
731,0.7626868824913113,0.43478259444236755,0.52173912525177,0.043478261679410934
732,0.08383612698161111,1.0,0.009999999776482582,0.009999999776482582
733,0.8402267424909893,0.38181817531585693,0.5272727012634277,0.09090909361839294
734,0.6542539214984285,0.7297297120094299,0.21621622145175934,0.054054055362939835
735,0.08383612698161111,1.0,0.009999999776482582,0.009999999776482582
736,0.08383612698161111,1.0,0.009999999776482582,0.009999999776482582
737,0.5240760881383617,0.800000011920929,0.17499999701976776,0.02500000037252903
738,0.540982111429251,0.190476194024086,0.02380952425301075,0.7857142686843872
739,0.6635277492589925,0.4285714328289032,0.5714285969734192,0.009999999776482582
740,0.9533258605319808,0.46236559748649597,0.3333333432674408,0.20430107414722443
741,0.7907668341431817,0.5163934230804443,0.05737704783678055,0.4262295067310333
742,0.4723358094994192,0.8333333134651184,0.1428571492433548,0.02380952425301075
743,0.9837302913719119,0.32307693362236023,0.26153847575187683,0.4153846204280853
744,0.6635277492589925,0.5714285969734192,0.4285714328289032,0.009999999776482582
745,0.8314052343782374,0.5967742204666138,0.29032257199287415,0.11290322244167328
746,0.08383612698161111,1.0,0.009999999776482582,0.009999999776482582
747,0.2703469558004371,0.931034505367279,0.06896551698446274,0.009999999776482582
748,0.48117907366096235,0.8125,0.1875,0.009999999776482582
749,0.2887652957547473,0.9230769276618958,0.07692307978868484,0.009999999776482582
750,0.34291653523205784,0.8974359035491943,0.10256410390138626,0.009999999776482582
751,0.583401360905015,0.7179487347602844,0.28205129504203796,0.009999999776482582
752,0.19022338867971936,0.95652174949646,0.021739130839705467,0.021739130839705467
753,0.6361457273119866,0.3589743673801422,0.6410256624221802,0.009999999776482582
754,0.5163430877734873,0.8285714387893677,0.11428571492433548,0.05714285746216774
755,0.3030074237946381,0.9166666865348816,0.0833333358168602,0.009999999776482582
756,0.08383612698161111,1.0,0.009999999776482582,0.009999999776482582
757,0.9526214202888247,0.48148149251937866,0.2222222238779068,0.29629629850387573
758,0.3678971180029471,0.8867924809455872,0.09433962404727936,0.01886792480945587
759,0.66721737981784,0.5555555820465088,0.4444444477558136,0.009999999776482582
760,0.572286678442488,0.804347813129425,0.10869564861059189,0.08695652335882187
761,0.19478742522199924,0.9599999785423279,0.03999999910593033,0.009999999776482582
762,0.3538413269944118,0.8999999761581421,0.06666667014360428,0.03333333507180214
763,0.08383612698161111,1.0,0.009999999776482582,0.009999999776482582
764,0.512287402199192,0.7878788113594055,0.21212121844291687,0.009999999776482582
765,0.5537775978607381,0.75,0.009999999776482582,0.25
766,0.23542513371236143,0.9428571462631226,0.02857142873108387,0.02857142873108387
767,0.18216415609194772,0.9642857313156128,0.009999999776482582,0.0357142873108387
768,0.32382440881904806,0.9090909361839294,0.06818182021379471,0.022727273404598236
769,0.9890995323010326,0.3392857015132904,0.3928571343421936,0.2678571343421936
770,0.24555504300379116,0.9411764740943909,0.05882352963089943,0.009999999776482582
771,0.33464893829171066,0.9090909361839294,0.04545454680919647,0.04545454680919647
772,0.688125268233147,0.6818181872367859,0.27272728085517883,0.04545454680919647
773,0.6216748081056302,0.75,0.046875,0.203125
774,0.6728478560959129,0.5,0.009999999776482582,0.5
775,0.7594444174041285,0.5945945978164673,0.3513513505458832,0.054054055362939835
776,0.8514703336116909,0.5757575631141663,0.3030303120613098,0.12121212482452393
777,0.40594961381028954,0.8695651888847351,0.10869564861059189,0.021739130839705467
778,0.9216123774595426,0.523809552192688,0.2857142984867096,0.190476194024086
779,0.8713539515902647,0.10638298094272614,0.42553192377090454,0.4680851101875305
780,0.9382171798454719,0.22448979318141937,0.5102040767669678,0.26530611515045166
781,0.8201737420078612,0.6200000047683716,0.25999999046325684,0.11999999731779099
782,0.9472429560971242,0.21481481194496155,0.29629629850387573,0.4888888895511627
783,0.9101046755021432,0.3484848439693451,0.1515151560306549,0.5
784,0.7199877341234924,0.30000001192092896,0.6499999761581421,0.05000000074505806
785,0.972461743187759,0.4399999976158142,0.23999999463558197,0.3199999928474426
786,0.81446063614797,0.5373134613037109,0.0746268630027771,0.38805970549583435
787,0.6345045833721199,0.17241379618644714,0.7586206793785095,0.06896551698446274
788,0.7497896688990174,0.5445544719696045,0.41584157943725586,0.039603959769010544
789,0.9028645771404323,0.17142857611179352,0.5428571701049805,0.2857142984867096
790,0.8946416045146257,0.4838709533214569,0.3870967626571655,0.12903225421905518
791,0.9618840716253214,0.20512820780277252,0.42307692766189575,0.3717948794364929
792,0.8206490113031513,0.3255814015865326,0.09302325546741486,0.5813953280448914
794,0.4162638527171015,0.8727272748947144,0.09090909361839294,0.036363635212183
795,0.6567523948223335,0.59375,0.009999999776482582,0.40625
796,0.987619795456313,0.3478260934352875,0.3913043439388275,0.260869562625885
797,0.41522203095422366,0.8571428656578064,0.1428571492433548,0.009999999776482582
798,0.9477134509976671,0.4528301954269409,0.18867924809455872,0.35849055647850037
799,0.08383612698161111,1.0,0.009999999776482582,0.009999999776482582
800,0.1655230303277997,0.9696969985961914,0.03030303120613098,0.009999999776482582
801,0.835495751332393,0.5357142686843872,0.375,0.0892857164144516
802,0.5077239488926341,0.7916666865348816,0.2083333283662796,0.009999999776482582
803,0.8533040809760188,0.5112782120704651,0.3909774422645569,0.09774436056613922
804,0.8996756612306982,0.42352941632270813,0.4470588266849518,0.12941177189350128
805,0.9675882797495472,0.4000000059604645,0.21250000596046448,0.38749998807907104
806,0.8373979678577548,0.6097561120986938,0.13414634764194489,0.25609755516052246
807,0.9463946329577226,0.25,0.5,0.25
808,0.9300167228312574,0.52173912525177,0.21739129722118378,0.260869562625885
809,0.7188044980434715,0.6071428656578064,0.3571428656578064,0.0357142873108387
810,0.43067563453397545,0.8474576473236084,0.009999999776482582,0.1525423675775528
811,0.766029067323328,0.11764705926179886,0.20588235557079315,0.6764705777168274
812,0.4364147282925474,0.15625,0.009999999776482582,0.84375
813,0.8015385740011962,0.6530612111091614,0.1428571492433548,0.20408163964748383
814,0.9511034882861273,0.1875,0.38749998807907104,0.42500001192092896
815,0.9159023098508543,0.511904776096344,0.1666666716337204,0.3214285671710968
816,0.9567474739311556,0.4146341383457184,0.19512194395065308,0.39024388790130615
817,0.780073003726724,0.05263157933950424,0.42105263471603394,0.5263158082962036
818,0.9358933517112403,0.1666666716337204,0.4166666567325592,0.4166666567325592
819,0.8678195431151873,0.3142857253551483,0.12857143580913544,0.5571428537368774
820,0.08383612698161111,1.0,0.009999999776482582,0.009999999776482582
821,0.6907216709038556,0.3777777850627899,0.02222222276031971,0.6000000238418579
822,0.781537712078887,0.6666666865348816,0.20512820780277252,0.12820513546466827
823,0.9445113512478924,0.5,0.27272728085517883,0.22727273404598236
824,0.4160724157640842,0.8709677457809448,0.09677419066429138,0.032258063554763794
825,0.5462947106752344,0.8181818127632141,0.09090909361839294,0.09090909361839294
826,0.853473951770945,0.6000000238418579,0.15000000596046448,0.25
827,0.24555504300379116,0.9411764740943909,0.009999999776482582,0.05882352963089943
